ASN 	Name 	Num IPs
AS45899 	VNPT Corp 	7,381,504
AS7552 	Viettel Group 	5,973,504
AS18403 	The Corporation for Financing & Promoting Technology 	1,428,992
AS24086 	Viettel Corporation 	743,424
AS45543 	SaiGon Tourist cable Televition Company 	196,608
AS7602 	Saigon Postel Corporation 	124,928
AS45903 	CMC Telecom Infrastructure Company 	78,592
AS24173 	Netnam Company 	65,536
AS38731 	Vietel - CHT Compamy Ltd 	44,032
AS135905 	VIETNAM POSTS AND TELECOMMUNICATIONS GROUP 	41,216
AS38244 	Trung tam VNNIC 	34,816
AS38735 	Global Data Service Joint Stock Company 	32,768
AS131429 	MOBIFONE Corporation 	29,952
AS24085 	Quang Trung Software City Development Company 	24,320
AS38726 	VTC DIGICOM 	20,480
AS24088 	Hanoi Telecom Joint Stock Company - HCMC Branch 	19,712
AS131392 	GMO-Z.com Runsystem Joint Stock Company 	19,456
AS45538 	Online data services 	18,432
AS7643 	Vietnam Posts and Telecommunications (VNPT) 	18,176
AS45544 	SUPERDATA-VN 	14,336
AS38248 	VTC-VN 	14,336
AS45539 	VTCWLB-VN 	10,240
AS45896 	Mobifone Global JSC 	8,192
AS24175 	National Agency for Scientific and Technological Information 	8,192
AS55322 	North Power Company 	8,192
AS38733 	CMC Telecom Infrastructure Company 	7,936
AS45894 	FPT Online JSC 	7,680
AS38732 	CMC Telecom Infrastructure Company 	7,424
AS55313 	Hanel Communication JSC 	6,912
AS131353 	NhanHoa Software company 	6,144
AS63731 	TIEN PHAT TECHNOLOGY CORPORATION 	6,144
AS38247 	Vietnamobile Telecommunications Joint Stock Company 	6,144
AS45557 	Vietnam Technology and Telecommunication JSC 	5,120
AS135932 	Viet Storage Technology Joint Stock Company 	4,864
AS56150 	Viet Solutions Services Trading Company Limited 	4,608
AS131127 	Global Telecom Corp 	4,352
AS45542 	VietNam National University Ha Noi 	4,096
AS135918 	VIET DIGITAL TECHNOLOGY LIABILITY COMPANY 	4,096
AS55309 	Minh Tu Telecom Limited Company 	4,096
AS63747 	Central Post and Telecommunication (CPT) 	4,096
AS131388 	Vietnam HTS., JSC 	4,096
AS131414 	Long Van Soft Solution JSC 	3,584
AS131386 	Long Van System Solution JSC 	3,584
AS63741 	DCNET Telecommunication joint stock company 	3,072
AS131428 	Rainbow E-Commerce Company Limited 	2,560
AS63761 	Cong ty TNHH Dich vu truc tuyen Maxdata 	2,304
AS131427 	AOHOAVIET-VN 	2,048
AS135944 	VinhNam Commercial informatics service corporation 	2,048
AS24066 	Vietnam Internet Network Information Center 	2,048
AS131423 	Branch of Long Van System Solution JSC - Hanoi 	2,048
AS56155 	Tuong Minh service private enterprise 	2,048
AS38738 	L.C.S Company.,ltd 	2,048
AS23902 	Vietnam Internet network information center (VNNIC) 	2,048
AS135951 	Webico Company Limited 	2,048
AS63760 	AZDIGI Corporation 	2,048
AS131410 	Vietnam Television Cable Corporation One Member Company Limited 	2,048
AS45546 	Gtel Mobile Joint Stock Company 	2,048
AS56147 	Creative Communication Vietnam Joint Stock Company 	2,048
AS135942 	Adsota Corporation 	2,048
AS63765 	Ligh technology viet joint stock company 	2,048
AS45552 	DTS Communication Technologies Corporation 	2,048
AS56149 	Cong ty CP Truyen thong quoc te Incom 	2,048
AS131367 	Viet Online trading service corporation 	2,048
AS56141 	Danang ICT Infrastructure Development Center 	2,048
AS56146 	Global informatics solution corporation 	2,048
AS135915 	TLSOFT 	2,048
AS63733 	VIETNAM LEAGUE OF LEGENDS 	2,048
AS56151 	DigiStar Company Limited 	2,048
AS131435 	Vietnam Esports and Entertainment Joint Stock Company 	2,048
AS131349 	Digital telecomminication service joint stock 	2,048
AS135920 	Ehost software company limited 	1,792
AS131418 	Vietnam Esports Development Joint Stock Company 	1,792
AS135916 	KIENPHONGITS 	1,536
AS131396 	Rmit International University Vietnam 	1,536
AS45547 	SPT Telecommunications Service Center 	1,280
AS131402 	FPT Software Company limited 	1,280
AS135919 	MB SHINSEI Finance Limited Liability Company 	1,024
AS135921 	Maxserver Company Limited 	1,024
AS135922 	Clearsky Service Solutions Company Limited 	1,024
AS135923 	SCTV INFRASTRUCTURE BUSINESS INVESMENT COMPANY LIMITED 	1,024
AS135924 	FWD Vietnam Life Insurance Company Limited 	1,024
AS135925 	16 Au Co, Tan Son Nhi Ward, Tan Phu District, Ho Chi Minh city (EVNSPC Building) 	1,024
AS135926 	Phu Nhuan Jewelry Joint Stock Company 	1,024
AS135927 	Phu Quoc Petroleum Operating Company 	1,024
AS63732 	FIM PLUS DIGITAL JOINT STOCK COMPANY 	1,024
